module,name,permission,anonymous user,authenticated user,administrator,publisher,editor,event creator,site manager,site admin
,Profile: Edit own content,edit own profile content,,,1,1,1,,1,1
,Profile: Edit any content,edit any profile content,,,1,1,1,,1,1
,Profile: Delete own content,delete own profile content,,,1,1,1,,1,1
,Profile: Delete any content,delete any profile content,,,1,,,,1,1
,Press Release: Create new content,create press_release content,,,1,1,1,,1,1
,Press Release: Edit own content,edit own press_release content,,,1,1,1,,1,1
,Press Release: Edit any content,edit any press_release content,,,1,1,1,,1,1
,Press Release: Delete own content,delete own press_release content,,,1,1,1,,1,1
,Press Release: Delete any content,delete any press_release content,,,1,,,,1,1
,Services: Create new content,create services content,,,1,1,1,,1,1
,Services: Edit own content,edit own services content,,,1,1,1,,1,1
,Services: Edit any content,edit any services content,,,1,1,1,,1,1
,Services: Delete own content,delete own services content,,,1,1,1,,1,1
,Services: Delete any content,delete any services content,,,1,,,,1,1
,Site Page: Create new content,create site_page content,,,1,1,1,,1,1
,Site Page: Edit own content,edit own site_page content,,,1,1,1,,1,1
,Site Page: Edit any content,edit any site_page content,,,1,1,1,,1,1
,Site Page: Delete own content,delete own site_page content,,,1,1,1,,1,1
,Site Page: Delete any content,delete any site_page content,,,1,,,,1,1
,Tax Type: Create new content,create tax_type content,,,1,1,1,,1,1
,Tax Type: Edit own content,edit own tax_type content,,,1,1,1,,1,1
,Tax Type: Edit any content,edit any tax_type content,,,1,1,1,,1,1
,Tax Type: Delete own content,delete own tax_type content,,,1,1,1,,1,1
,Tax Type: Delete any content,delete any tax_type content,,,1,,,,1,1
,Webform: Create new content,create webform content,,,1,1,1,,1,1
,Webform: Edit own content,edit own webform content,,,1,1,1,,1,1
,Webform: Edit any content,edit any webform content,,,1,1,1,,1,1
,Webform: Delete own content,delete own webform content,,,1,1,1,,1,1
,Webform: Delete any content,delete any webform content,,,1,,,,1,1
,Digital Commons: Create new content,create digital_commons content,,,1,1,1,,1,1
,Digital Commons: Edit own content,edit own digital_commons content,,,1,1,1,,1,1
,Digital Commons: Edit any content,edit any digital_commons content,,,1,1,1,,1,1
,Digital Commons: Delete own content,delete own digital_commons content,,,1,1,1,,1,1
,Digital Commons: Delete any content,delete any digital_commons content,,,1,,,,1,1
,Map Page: Create new content,create map_page content,,,1,1,1,,1,1
,Map Page: Edit own content,edit own map_page content,,,1,1,1,,1,1
,Map Page: Edit any content,edit any map_page content,,,1,1,1,,1,1
,Map Page: Delete own content,delete own map_page content,,,1,1,1,,1,1
,Map Page: Delete any content,delete any map_page content,,,1,,,,1,1
nodequeue,,,,,,,,,,
,Administer nodequeue,administer nodequeue,,,1,,,,,1
,Manipulate queues,manipulate queues,,,1,,,,,1
,Manipulate all queues,manipulate all queues,,,1,,,,,1
oauth_common,,,,,,,,,,
,Access own OAuth authorizations,access own authorizations,,,1,,,,,1
,Access own OAuth consumers,access own consumers,,,1,,,,,1
,Authorize any OAuth consumers,oauth authorize any consumers,,,1,,,,,1
,Register any OAuth consumers,oauth register any consumers,,,1,,,,,1
,Administer OAuth,administer oauth,,,1,,,,,1
,Administer OAuth consumers,administer consumers,,,1,,,,,1
page_manager,,,,,,,,,,
,Use Page Manager,use page manager,,,1,,,,,1
,Administer Page Manager,administer page manager,,,1,,,,,1
panels,,,,,,,,,,
,Use Panels Dashboard,use panels dashboard,,,1,,,,,
,View administrative links on Panel panes,view pane admin links,,,1,,,,,
,Configure access settings on Panel panes,administer pane access,,,1,,,,,
,Use the Panels In-Place Editor,use panels in place editing,,,1,,,,,
,Change layouts with the Panels In-Place Editor,change layouts in place editing,,,1,,,,,
,Configure advanced settings on Panel panes,administer advanced pane settings,,,1,,,,,
,Administer Panels layouts,administer panels layouts,,,1,,,,,
,Administer Panels styles,administer panels styles,,,1,,,,,
,Configure caching settings on Panels,use panels caching features,,,1,,,,,
,Use panel locks,use panels locks,,,1,,,,,
,Use the Panels In-Place Editor with Page Manager,use ipe with page manager,,,1,,,,,
paragraphs,,,,,,,,,,
,Administer paragraphs bundles,administer paragraphs bundles,,,1,,,,,1
path,,,,,,,,,,
,Administer URL aliases,administer url aliases,,,1,,,,,1
,Create and edit URL aliases,create url aliases,,,1,1,,,1,1
pathauto,,,,,,,,,,
,Administer pathauto,administer pathauto,,,1,,,,,
,Notify of Path Changes,notify of path changes,,,1,,,,,
picture,,,,,,,,,,
,Administer Pictures,administer pictures,,,1,,,,1,1
recaptcha,,,,,,,,,,
,Administer reCAPTCHA,administer recaptcha,,,1,,,,1,1
redirect,,,,,,,,,,
,Administer URL redirections,administer redirects,,,1,,,,,1
revision_scheduler,,,,,,,,,,
,Schedule revisions,schedule revisions,,,1,,,,,1
role_delegation,,,,,,,,,,
,Assign all roles,assign all roles,,,1,,,,,
,Assign publisher role,assign publisher role,,,1,,,,,1
,Assign editor role,assign editor role,,,1,,,,,1
,Assign event creator role,assign event creator role,,,1,,,,,1
,Assign site manager role,assign site manager role,,,1,,,,,1
,Assign site admin role,assign site admin role,,,1,,,,,1
s3fs,,,,,,,,,,
,Administer S3 File System,administer s3fs,,,1,,,,,
search_api,,,,,,,,,,
,Administer Search API,administer search_api,,,1,,,,,
shortcut,,,,,,,,,,
,Administer shortcuts,administer shortcuts,,,1,,,,,1
,Edit current shortcut set,customize shortcut links,,,1,,,,,1
,Select any shortcut set,switch shortcut sets,,,1,,,,,1
smtp,,,,,,,,,,
,Administer SMTP Authentication Support module,administer smtp module,,,1,,,,,
system,,,,,,,,,,
,Administer modules,administer modules,,,1,,,,,
,Administer site configuration,administer site configuration,,,1,,,,,
,Administer themes,administer themes,,,1,,,,,
